Partlist

Exported from amplifier4c.sch at 12/06/2016 5:14:38 PM

EAGLE Version 6.5.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part     Value               Device              Package            Library             Sheet

C1       0.001uF             CAP0603             0603               lowfieldmri         1
C2       0.01uF              CAP0603             0603               lowfieldmri         1
C3       0.1uF               CAP0603             0603               lowfieldmri         1
C4       0.01uF              CAP0603             0603               lowfieldmri         1
C5       0.1uF               CAP0603             0603               lowfieldmri         1
C6       10uF                CAP0805             0805               lowfieldmri         1
C7       0.1uF               CAP0603             0603               lowfieldmri         1
C8       10uF                CAP0805             0805               lowfieldmri         1
C9       0.1uF               CAP0603             0603               lowfieldmri         1
C10      0.1uF               CAP0603             0603               lowfieldmri         1
C11      0.1uF               CAP0603             0603               lowfieldmri         1
C12      0.1uF               CAP0603             0603               lowfieldmri         1
C13      0.1uF               CAP0603             0603               lowfieldmri         1
C14      10uF                CAP0805             0805               lowfieldmri         1
C15      0.1uF               CAP0603             0603               lowfieldmri         1
C16      10uF                CAP0805             0805               lowfieldmri         1
C17      0.1uF               CAP0603             0603               lowfieldmri         1
C18      0.1uF               CAP0603             0603               lowfieldmri         1
C19      0.1uF               CAP0603             0603               lowfieldmri         1
C20      0.1uF               CAP0603             0603               lowfieldmri         1
C21      0.1uF               CAP0603             0603               lowfieldmri         1
C22      10uF                CAP0805             0805               lowfieldmri         1
C23      0.1uF               CAP0603             0603               lowfieldmri         1
C24      10uF                CAP0805             0805               lowfieldmri         1
C25      0.1uF               CAP0603             0603               lowfieldmri         1
C26      0.1uF               CAP0603             0603               lowfieldmri         1
C27      10uF                CAP0805             0805               lowfieldmri         1
C28      0.1uF               CAP0603             0603               lowfieldmri         1
C29      10uF                CAP0805             0805               lowfieldmri         1
C30      0.1uF               CAP0603             0603               lowfieldmri         1
C31      0.01uF              CAP0603             0603               lowfieldmri         1
C32      0.1uF               CAP0603             0603               lowfieldmri         1
C33      10uF                CAP0805             0805               lowfieldmri         1
C34      0.1uF               CAP0603             0603               lowfieldmri         1
C35      22uF                CAP1206             1206               SparkFun-Capacitors 1
C36      22uF                CAP1206             1206               SparkFun-Capacitors 1
C37      22uF                CAP1206             1206               SparkFun-Capacitors 1
C38      22uF                CAP1206             1206               SparkFun-Capacitors 1
C39      0.01uF              CAP0603             0603               lowfieldmri         1
C40      0.01uF              CAP0603             0603               lowfieldmri         1
C41      22uF                CAP1206             1206               SparkFun-Capacitors 1
C42      22uF                CAP1206             1206               SparkFun-Capacitors 1
C43      0.01uF              CAP0603             0603               lowfieldmri         1
CN1      SCREWTERMINAL-2PIN  SCREWTERMINAL-2PIN  SCREWTERMINAL-2PIN openct              1
CN2      SCREWTERMINAL-2PIN  SCREWTERMINAL-2PIN  SCREWTERMINAL-2PIN openct              1
CN3      1X03                1X03                1X03               openct              1
CN4      1X09                1X09                1X09               lowfieldmri         1
CN5      BNCPTH              BNCPTH              BNC                SparkFun-Connectors 1
CN6      BNCPTH              BNCPTH              BNC                SparkFun-Connectors 1
CN7      1X04                1X04                1X04               lowfieldmri         1
